ticker,DATE,Revenue Growth (YoY),Shares Change,Gross Margin,Operating Margin,Profit Margin,Free Cash Flow Margin,EBITDA Margin,EBIT Margin,Cash Growth,Debt Growth
AAPL,9/24/2016,-9.03%,-5.09%,38.02%,25.10%,19.24%,28.41%,32.41%,26.97%,15.52%,35.29%
AAPL,6/25/2016,-14.61%,-5.20%,38.02%,23.86%,18.41%,18.25%,31.64%,25.68%,14.13%,56.08%
AAPL,3/26/2016,-12.85%,-5.04%,39.40%,27.67%,20.80%,17.81%,33.51%,28.61%,20.35%,82.06%
AAPL,12/26/2015,1.71%,-4.89%,40.10%,31.86%,24.20%,30.92%,36.64%,32.75%,21.23%,72.96%
AAPL,9/26/2015,22.26%,-4.85%,39.90%,28.39%,21.60%,19.06%,35.76%,29.71%,32.48%,82.26%
AAPL,6/27/2015,32.52%,-4.60%,39.68%,28.39%,21.52%,26.00%,35.80%,29.58%,23.32%,75.32%
AAPL,3/28/2015,27.09%,-5.23%,40.78%,31.51%,23.39%,28.62%,36.56%,32.28%,28.52%,158.64%
AAPL,12/27/2014,29.53%,-6.79%,39.87%,32.50%,24.16%,40.83%,36.36%,32.91%,12.03%,114.63%
AAPL,9/27/2014,12.41%,-6.16%,38.01%,26.51%,20.10%,22.31%,32.18%,27.51%,5.78%,108.11%
AAPL,6/28/2014,5.97%,-6.46%,39.36%,27.47%,20.70%,20.90%,33.47%,28.28%,12.19%,83.04%
AAPL,3/29/2014,4.69%,-7.03%,39.32%,29.78%,22.40%,26.40%,34.59%,30.46%,4.08%,-
AMD,12/31/2022,16.02%,32.38%,42.92%,-2.66%,0.38%,7.91%,20.20%,-2.04%,62.28%,333.13%
AMD,9/24/2022,29.03%,32.11%,42.30%,-1.15%,1.19%,15.13%,20.66%,-0.68%,54.96%,396.56%
AMD,6/25/2022,70.13%,32.47%,46.23%,8.03%,6.82%,13.83%,26.37%,8.03%,57.98%,478.48%
AMD,3/26/2022,70.89%,14.54%,47.87%,16.15%,13.35%,15.70%,26.16%,15.49%,109.63%,291.47%
AMD,12/25/2021,48.77%,1.58%,50.27%,25.01%,20.18%,15.25%,27.87%,25.09%,57.55%,24.48%
AMD,9/25/2021,53.98%,1.23%,48.37%,21.98%,21.40%,17.71%,26.06%,23.46%,103.73%,0.69%
AMD,6/26/2021,99.28%,0.41%,47.53%,21.58%,18.44%,23.06%,24.49%,21.64%,113.69%,-38.14%
AMD,3/27/2021,92.89%,0.57%,46.07%,19.22%,16.11%,24.15%,22.06%,18.96%,124.98%,-21.17%
AMD,12/26/2020,52.52%,3.88%,44.73%,17.57%,54.90%,14.80%,20.31%,17.20%,52.36%,-22.48%
AMD,9/26/2020,55.52%,8.77%,43.91%,16.03%,13.92%,9.46%,18.06%,14.74%,46.48%,-46.13%
AMD,6/27/2020,26.19%,10.64%,43.89%,8.95%,8.13%,7.87%,13.30%,9.06%,57.36%,-28.02%
AMD,3/28/2020,40.41%,11.88%,45.80%,9.91%,9.07%,-6.72%,14.50%,10.13%,16.00%,-46.52%
AMD,12/28/2019,49.89%,7.12%,44.62%,16.36%,7.99%,18.81%,13.92%,10.48%,30.02%,-45.20%
AMD,9/28/2019,8.95%,3.81%,43.14%,10.33%,6.66%,9.94%,12.22%,8.38%,14.49%,-17.65%
AMD,6/29/2019,-12.81%,-3.31%,40.56%,3.85%,2.29%,-1.83%,8.03%,4.05%,14.75%,-10.84%
AMD,3/30/2019,-22.77%,5.29%,40.96%,2.99%,1.26%,-21.62%,6.68%,2.36%,14.26%,-5.84%
AMD,12/29/2018,5.90%,11.89%,37.84%,1.97%,2.68%,5.57%,5.29%,2.26%,-2.45%,-10.39%
AMD,9/29/2018,4.36%,3.26%,39.99%,9.07%,6.17%,2.60%,11.19%,8.71%,20.14%,-8.63%
AMD,6/30/2018,52.56%,21.38%,37.13%,8.71%,6.61%,-5.58%,11.10%,8.71%,16.47%,-1.69%
AMD,3/31/2018,39.81%,10.65%,36.25%,7.29%,4.92%,-9.29%,9.96%,7.29%,10.82%,-1.42%
AMD,12/30/2017,16.22%,3.20%,33.73%,-0.15%,-1.42%,20.90%,2.91%,-,-6.25%,-2.79%
AMD,9/30/2017,21.19%,27.85%,36.05%,7.51%,3.85%,2.21%,9.47%,7.20%,-30.13%,-12.62%
AMD,7/1/2017,12.07%,15.10%,33.54%,-0.09%,-3.65%,-8.17%,2.43%,-0.61%,-11.81%,-36.68%
AMD,4/1/2017,41.59%,18.41%,32.09%,0.93%,-2.80%,-27.33%,3.23%,0.34%,31.70%,-37.03%
AMD,12/31/2016,20.35%,18.31%,30.88%,-0.35%,-4.51%,13.70%,1.82%,-1.13%,61.02%,-35.85%
AMD,9/24/2016,23.19%,3.82%,4.51%,-22.42%,-31.06%,1.53%,-25.10%,-27.62%,66.62%,-27.79%
