Date,AAPL,AMD,AMZN,F,GOOG,INTC,JPM,MSFT,MS,NVDA,TSLA,VOO
2018-01-02,40.67098617553711,10.979999542236328,59.45050048828125,9.247077941894531,53.25,39.74065017700195,90.12552642822266,80.08092498779297,43.32794189453125,49.312782287597656,21.368667602539062,222.65365600585935
2018-01-03,40.66389846801758,11.550000190734863,60.209999084472656,9.32011890411377,54.124000549316406,38.39190673828125,90.21734619140624,80.45359802246094,43.44417572021485,52.55824661254883,21.149999618530277,223.97833251953125
2018-01-04,40.85276794433594,12.119999885559082,60.47949981689453,9.48081111907959,54.31999969482422,37.6878662109375,91.509765625,81.16170501708984,44.10833358764648,52.83530807495117,20.974666595458984,224.9605407714844
2018-01-05,41.3178939819336,11.880000114440918,61.45700073242188,9.64150333404541,55.11149978637695,37.95083236694336,90.92232513427734,82.16796112060547,44.091739654541016,53.28304672241211,21.10533332824707,226.40228271484372
2018-01-08,41.16442489624024,12.279999732971191,62.34349822998047,9.604981422424316,55.34700012207031,37.95083236694336,91.05657958984376,82.2518081665039,43.90908432006836,54.91566848754883,22.42733383178711,226.8708953857422
2018-01-09,41.15970993041992,11.81999969482422,62.6349983215332,9.553852081298828,55.3129997253418,37.000789642333984,91.51815795898438,82.1958999633789,44.24945831298828,54.90082931518555,22.246000289916992,227.3484649658203
2018-01-10,41.15026473999024,11.960000038146973,62.71649932861328,9.51733112335205,55.13050079345703,36.05073928833008,92.52521514892578,81.8232192993164,44.772491455078125,55.33125686645508,22.31999969482422,226.9610137939453
2018-01-11,41.38400268554688,12.140000343322754,63.83399963378906,9.612286567687988,55.2760009765625,36.822662353515625,93.02039337158205,82.06549072265625,44.99665832519531,55.4301986694336,22.530000686645508,228.63702392578125
2018-01-12,41.81135177612305,12.020000457763672,65.26000213623047,9.663414001464844,56.11299896240234,36.67844772338867,94.55618286132812,83.48167419433594,45.76042175292969,55.15807342529297,22.4146671295166,230.15087890625
2018-01-16,41.5988655090332,11.90999984741211,65.24299621582031,9.568462371826172,56.0880012512207,36.5936279296875,94.2204818725586,82.31704711914062,45.32872009277344,54.44814682006836,22.67066764831543,229.31285095214844
2018-01-17,42.28591537475586,12.18000030517578,64.75,8.896477699279785,56.5989990234375,37.6539421081543,94.8247299194336,83.98481750488281,45.95136642456055,55.588504791259766,23.143999099731445,231.52960205078125
2018-01-18,42.32368850708008,12.470000267028809,64.66600036621094,8.816130638122559,56.48949813842773,37.73028945922852,95.0513153076172,83.94752502441406,46.3581657409668,55.51924514770508,22.971332550048828,231.21417236328125
2018-01-19,42.13481140136719,12.59000015258789,64.72899627685547,8.765003204345703,56.8754997253418,38.01868438720703,94.8415298461914,83.85437774658203,47.70309066772461,56.92182159423828,23.334667205810547,232.1964111328125
2018-01-22,41.79010009765625,12.649999618530272,66.3655014038086,8.779609680175781,57.79050064086914,38.80757141113281,95.94928741455078,85.35443878173828,47.62006759643555,57.807411193847656,23.437332153320312,234.0616912841797
2018-01-23,41.799537658691406,12.9399995803833,68.12699890136719,8.735787391662598,58.49850082397461,39.07052993774414,95.8485870361328,85.62461853027344,47.24647521972656,59.098670959472656,23.519332885742188,234.5933380126953
2018-01-24,41.133750915527344,12.710000038146973,67.87550354003906,8.80152416229248,58.21200180053711,38.60398483276367,97.07386016845705,85.55008697509766,47.52044296264648,58.329349517822266,23.05933380126953,234.4761505126953
2018-01-25,40.39945983886719,12.40999984741211,68.89749908447266,8.450922012329102,58.51850128173828,38.42585754394531,97.09903717041016,86.02525329589844,47.1634635925293,58.46540451049805,22.50933265686035,234.5843048095703
2018-01-26,40.493900299072266,12.949999809265137,70.10250091552734,8.509356498718262,58.79199981689453,42.48050308227539,97.61937713623048,87.63713836669922,47.819313049316406,60.1920280456543,22.856666564941406,237.31463623046875
2018-01-29,39.655738830566406,13.31999969482422,70.88400268554688,8.32225513458252,58.77899932861328,42.39567565917969,97.51866912841795,87.50667572021484,47.69477844238281,61.062767028808594,23.302000045776367,235.67466735839844
2018-01-30,39.421993255615234,12.869999885559082,71.89099884033203,8.277351379394531,58.18450164794922,41.38624572753906,96.60388946533205,86.40725708007812,47.19448471069336,60.041133880615234,23.05466651916504,233.16058349609372
2018-01-31,39.53059387207031,13.739999771118164,72.54450225830078,8.209993362426758,58.49700164794922,40.83489227294922,97.07386016845705,88.52227020263672,47.152793884277344,60.80303192138672,23.62066650390625,233.37681579589844
2018-02-01,39.613243103027344,13.25,69.5,8.172574043273926,58.3849983215332,40.419246673583984,98.08092498779295,87.82347106933594,47.90323257446289,59.49198532104492,23.28333282470703,233.14259338378903
2018-02-02,37.89440536499024,12.449999809265137,71.49749755859375,8.015408515930176,55.595001220703125,39.14686965942383,95.90733337402344,85.51280212402344,46.26060485839844,57.76536178588867,22.916667938232425,228.15045166015625
2018-02-05,36.94765090942383,11.56999969482422,69.5,7.663661479949951,52.790000915527344,37.76422119140625,91.30836486816406,81.9909439086914,43.8174934387207,52.86251449584961,22.208667755126957,218.7789306640625
2018-02-06,38.49175643920898,11.649999618530272,72.14199829101562,8.05282974243164,54.02999877929688,38.35348892211914,94.08621978759766,85.09354400634766,45.30170822143555,55.801246643066406,22.264667510986328,222.82489013671875
2018-02-07,37.66774368286133,11.600000381469728,70.83899688720703,8.05282974243164,52.42900085449219,38.60113143920898,94.72403717041016,83.49100494384766,45.485137939453125,56.5977783203125,23.0,221.60841369628903
